코드,자격증명
2003900,건축전기설비기술사
2004000,건축제도기능사
2004100,건축품질시험기술사
2004200,경매사
2004300,계량기계기능사
2004400,계량기계산업기사
2004500,계량물리산업기사
2004600,계량전기기능사
2004700,계량전기산업기사
2004800,고분자제품기술사
2004900,고분자제품제조기능사
2005000,고분자제품제조산업기사
2005100,공업계측제어기능사
2005200,공업계측제어기사
2005300,공업계측제어기술사
2005400,공업계측제어산업기사
2005500,공업배관기능사
2005600,공업화학기사
2005700,공업화학기술사
2005800,공업화학산업기사
2005900,공장관리기술사
2006000,공정관리기사
2006100,공정관리산업기사
2006200,공조냉동기계기능사
2006300,공조냉동기계기사
2006400,공조냉동기계기술사
2006500,공조냉동기계산업기사
2006600,광고도장기능사
2006700,광산보안기능사
2006800,광산보안기사
2006900,광산보안산업기사
2007000,광산차량기계운전기능사
2007100,광산환경기능사
2007200,광학기능사
2007300,광학기사
2007400,교통기사
2007500,교통기술사
2007600,교통산업기사
2007700,굴착산업기사
2007800,귀금속가공기능사
2007900,귀금속가공기능장
2008000,귀금속가공산업기사
2008100,금속가공기술사
2008200,금속공예기능사
2008300,금속기사
2008400,금속도장기능사
2008500,금속재료기능장
2008600,금속재료기술사
2008700,금속재료산업기사
2008800,금속재료시험기능사
2008900,금속재창호기능사
2009000,금속제련산업기사
2009100,금형기술사
2009200,금형제작기능장
2009300,기계가공기능장
2009400,기계공정설계기사
2009500,기계공정설계기술사
2009600,기계설계산업기사
2009700,기계안전기술사
2009800,기계정비기능사
2009900,기계정비기능장
2010000,기계정비산업기사
2010100,기계제도기능사
2010200,기계제작기술사
2010300,기계조립산업기사
2010400,기상기사
2010500,기중기운전기능사
2010600,냉간압연기능사
2010700,농기계운전기능사
2010800,농기계정비기능사
2010900,농산식품가공기능사
2011000,농어업토목기술사
2011100,농업기계기사
2011200,농업기계산업기사
2011300,농화학기사
2011400,농화학기술사
2011500,누설비파괴검사기능사
2011600,누설비파괴검사기사
2011700,단조기능사
2011800,대기관리기술사
2011900,대기환경기사
2012000,대기환경산업기사
2012100,도로및공항기술사
2012200,도배기능사
2012300,도시계획기사
2012400,도시계획기술사
2012500,도자기공예기능사
2012600,도자기공예산업기사
2012700,도화기능사
2012800,로울러운전기능사
2012900,멀티미디어기술사
2013000,메카트로닉스기사
2013100,메카트로닉스산업기사
2013200,모우터그레이더운전기능사
2013300,목공예기능사
2013400,목공예산업기사
2013500,목재가공기능사
2013600,목재창호기능사
2013700,목재창호산업기사
2013800,목질재료기능사
2013900,무선설비기능사
2014000,무선설비기사
2014100,무선설비산업기사
2014200,문화재수리기능자
2014300,문화재수리기술자
2014400,미용사
2014500,미용장
2014600,미장기능사
2014700,발송배전기술사
2014800,방사기사
2014900,방사기술사
2015000,방사산업기사
2015100,방사선관리기술사
2015200,방사선비파괴검사기능사
2015300,방사선비파괴검사기사
2015400,방사선비파괴검사산업기사
2015500,방송통신기능사
2015600,방송통신산업기사
2015700,방수기능사
2015800,방적기능사
2015900,방적기술사
2016000,방직기사
2016100,배관기능장
2016200,배관설비산업기사
2016300,버섯종균기능사
2016400,보석가공기능사
2016500,보석감정기능사
2016600,보선기능사
2016700,보일러기능장
2016800,보일러산업기사
2016900,보일러시공기능사
2017000,보일러취급기능사
2017100,복어조리기능사
2017200,불도우저운전기능사
2017300,비계기능사
2017400,비철야금기술사
2017500,비파괴검사기술사
2017600,사무자동화산업기사
2017700,사무정보기기응용기사
2017800,사업용조종사
2017900,사진기능사
2018000,사진제판기능사
2018100,사출금형기능사
2018200,사출금형산업기사
2018300,사출금형설계기사
2018400,사회복지사1급[국가시험]
2018500,산림경영기사
2018600,산림경영산업기사
2018700,산림공학기사
2018800,산림공학산업기사
2018900,산림기능사
2019000,산림기능장
2019100,산림기술사
2019200,산림산업기사
2019300,산업기계기술사
2019400,산업안전기사
2019500,산업안전산업기사
2019600,산업위생관리기사
2019700,산업위생관리기술사
2019800,산업위생관리산업기사
2019900,상하수도기술사
2020000,생물공학기사
2020100,생사기술사
2020200,생산기계산업기사
2020300,생산자동화산업기사
2020400,석공기능사
2020500,석공예기능사
2020600,선박건조기술사
2020700,선박기계기술사
2020800,선박기관정비기능사
2020900,선박설계기술사
2021000,선반기능사
2021100,선체건조기능사
2021200,선체의장기능사
2021300,섬유가공산업기사
2021400,섬유기계기능장
2021500,섬유기계산업기사
2021600,섬유디자인산업기사
2021700,섬유제도디자인기능사
2021800,세라믹기능사
2021900,세라믹기사
2022000,세라믹기술사
2022100,세라믹산업기사
2022200,세탁기능사
2022300,소방설비기사
2022400,소방설비기술사
2022500,소방설비산업기사
2022600,소음진동기사
2022700,소음진동기술사
2022800,소음진동산업기사
2022900,수산식품가공기능사
2023000,수산양식기능사
2023100,수산양식기사
2023200,수산양식기술사
2023300,수산양식산업기사
2023400,수산제조기사
2023500,수산제조기술사
2023600,수산제조산업기사
2023700,수자원개발기술사
2023800,수질관리기술사
2023900,수질환경기사
2024000,수질환경산업기사
2024100,수치제어밀링기능사
2024200,수치제어선반기능사
2024300,스크린인쇄기능사
2024400,승강기기능사
2024500,승강기기사
2024600,승강기산업기사
2024700,시각디자인기사
2024800,시각디자인산업기사
2024900,시계수리기능사
2025000,시설원예기능사
2025100,시설원예기사
2025200,시설원예기술사
2025300,시설원예산업기사
2025400,시추기능사
2025500,식물보호기능사
2025600,식물보호기사
2025700,식물보호산업기사
2025800,식육처리기능사
2025900,식품기사
2026000,식품기술사
2026100,식품산업기사
2026200,식품제조기사
2026300,신발류제조기능사
2026400,실내건축기능사
2026500,실내건축기사
2026600,실내건축산업기사
2026700,아마추어무선기사
2026800,압연기능장
2026900,양복기능사
2027000,양복산업기사
2027100,양식조리기능사
2027200,양장기능사
2027300,양화장치운전기능사
2027400,어로기능사
2027500,어로기사
2027600,어로기술사
2027700,어로산업기사
2027800,어병기사
2027900,연삭기능사
2028000,열간압연기능사
2028100,열관리기사
2028200,열관리산업기사
2028300,열차조작기능사
2028400,열차조작산업기사
2028500,열처리기능사
2028600,염색가공기사
2028700,염색가공기술사
2028800,염색기능사
2028900,염색기능장
2029000,영림기사
2029100,영사기능사
2029200,영사산업기사
2029300,온수온돌기능사
2029400,와전류비파괴검사기능사
2029500,와전류비파괴검사기사
2029600,와전류비파괴검사산업기사
2029700,용접기능장
2029800,용접기사
2029900,용접기술사
2030000,용접산업기사
2030100,운송용조종사
2030200,운항관리사
2030300,원예종묘기능사
2030400,원예종묘기사
2030500,원자력기사
2030600,원자력발전기술사
2030700,원자력조종감독자면허
2030800,원형기능사
2030900,위생시험사
2031000,위험물관리기능사
2031100,위험물관리기능장
2031200,위험물관리산업기사
2031300,유리시공기능사
2031400,유선방송설비기능사
2031500,유선설비기사
2031600,유체기계기술사
2031700,윤활관리산업기사
2031800,응용지질기사
2031900,응용지질기술사
2032000,의류기사
2032100,의류기술사
2032200,이용사
2032300,인발기능사
