전공,졸업당시나이,알바 여부,월 소득,직장_만족도,직장_전공일치정도,직장_요구자격증여부,합격경험,복수전공여부,복수전공명,부전공여부,부전공명,군복무경험,휴학학기수,졸업유예경험,대학원경험,재학중재직경험,어학연수경험,토익점수,취업목표유무,자격증여부,자격증_1,자격증_2,자격증_3,구직활동경험,공모전수상,대외활동,면접훈련,중요도_근로소득,중요도_흥미,중요도_전공관련성,중요도_개인발전가능성,중요도_직업자체전망,중요도_직장안정성,중요도_근무환경,중요도_복리후생,중요도_회사규모,중요도_출퇴근거리,중요도_사회적평판,하루평균수면시간,흡연여부,음주선호도,삶의 만족도,부모님자산규모,월평균생활비,학교소재,졸업 평점 유형,졸업 평점,현재 건강상태
C010101,26,,,,,,2,2,,2,,2,6,2,2,2,1,,1,1,4111804,,,1,2,2,2,4,5,4,3,4,4,4,3,3,4,3,7,2,1,4,1,0,2,3,4.2,3
C010101,22,2,150,3,2,2,,2,,2,,1,,2,1,1,2,,2,2,,,,1,2,2,2,4,4,5,4,4,4,4,4,3,5,4,6,2,1,6,4,0,2,3,3.5,3
C010101,22,,,,,,,2,,2,,1,,2,2,1,2,,2,1,3003900,3003900,,2,2,2,1,5,4,2,3,4,4,5,5,4,5,4,7,2,3,4,2,0,2,3,2.8,3
C010101,26,,,,,,0,2,,2,,2,8,2,2,1,2,,2,2,,,,2,2,2,2,2,5,3,2,2,5,4,3,1,5,1,8,2,3,7,1,0,2,3,4.2,4
C010101,31,,,,,,,2,,2,,2,,2,1,2,1,,2,1,5010500,4090002,,1,2,1,2,5,5,5,5,5,5,4,4,4,3,4,7,2,3,6,5,0,4,3,4.3,4
C010101,26,,,,,,,2,,2,,2,4,2,1,1,2,750,2,2,,,,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,7,2,1,5,5,0,2,3,4,2
C010101,23,2,150,4,1,2,,2,,2,,1,,2,2,1,2,,1,1,4111000,4050400,,1,2,2,1,4,4,2,4,4,5,4,4,3,4,3,7,2,3,4,4,0,2,3,3,3
C010101,22,,,,,,,2,,2,,1,,2,2,2,2,,2,2,,,,2,2,2,2,4,3,3,4,4,4,3,3,3,3,3,7,2,3,5,3,0,4,3,4,4
C010101,25,2,208,4,1,2,,2,,2,,2,6,2,2,2,2,,2,2,,,,2,2,2,2,5,5,1,5,5,5,5,5,3,5,3,8,1,4,6,4,0,2,3,3,5
C010101,22,,,,,,,2,,2,,1,,2,2,2,2,,2,2,,,,2,2,2,1,5,5,4,5,4,4,4,4,4,4,4,7,2,1,4,4,0,2,1,3.5,5
C010101,24,2,200,3,2,2,,2,,2,,2,1,2,2,1,1,,2,2,,,,2,2,2,2,4,4,3,4,4,4,3,3,3,4,3,8,1,4,4,1,0,2,3,3.5,3
C010101,26,,,,,,,2,,2,,2,,2,1,1,2,,1,1,2037200,,,1,2,2,2,5,5,5,5,5,5,5,5,5,5,5,7,2,3,5,2,0,4,3,4.3,4
C010101,24,2,190,5,1,2,,2,,2,,2,6,2,2,2,2,,2,1,2039700,5010503,,2,2,2,1,5,5,3,5,5,5,5,5,5,5,5,6,2,4,5,3,0,4,3,3.7,4
