전공,졸업당시나이,알바 여부,월 소득,직장_만족도,직장_전공일치정도,직장_요구자격증여부,합격경험,복수전공여부,복수전공명,부전공여부,부전공명,군복무경험,휴학학기수,졸업유예경험,대학원경험,재학중재직경험,어학연수경험,토익점수,취업목표유무,자격증여부,자격증_1,자격증_2,자격증_3,구직활동경험,공모전수상,대외활동,면접훈련,중요도_근로소득,중요도_흥미,중요도_전공관련성,중요도_개인발전가능성,중요도_직업자체전망,중요도_직장안정성,중요도_근무환경,중요도_복리후생,중요도_회사규모,중요도_출퇴근거리,중요도_사회적평판,하루평균수면시간,흡연여부,음주선호도,삶의 만족도,부모님자산규모,학교소재,졸업 평점 유형,졸업 평점,현재 건강상태
문헌정보,22,2,180,2,3,1,,2,,2,,1,,2,2,2,2,,1,1,1000400,,,2,,,,5,3,2,3,3,3,4,3,3,5,4,9,2,4,5,1,1,3,3,5
문헌정보,22,1,100,3,2,2,,2,,2,,1,,2,2,2,2,,2,1,1010600,,,2,,,,4,4,4,4,5,5,5,5,4,4,4,8,2,1,6,1,1,3,3.6,5
문헌정보,24,2,150,4,5,1,,2,,1,보육과,1,2,2,2,1,1,,2,1,1010600,4021404,3003900,1,2,2,1,4,4,4,4,4,4,4,4,4,4,4,6,2,3,6,1,2,3,3,4
문헌정보,25,,,,,,0,2,,2,,1,,2,2,2,2,,1,1,1010600,1010300,,1,1,2,1,4,4,5,4,4,5,4,4,3,5,3,4,2,3,5,1,2,3,3.5,5
문헌정보,27,2,160,3,4,1,,2,,2,,2,,2,2,1,1,,1,1,1010600,4111804,2039700,2,,,,5,4,4,4,4,5,5,5,2,4,3,7,2,2,7,1,4,3,4.3,5
문화,24,1,105,4,4,2,,2,,2,,2,4,2,1,1,2,710,2,1,4149200,,,2,,,,5,4,2,4,2,5,5,5,3,2,2,6,2,4,6,4,1,3,3.9,5
문화,26,2,150,3,1,2,,2,,2,,2,8,2,2,1,2,,2,2,,,,2,,,,4,4,1,5,5,4,3,3,3,4,3,7,2,4,4,1,1,3,3,4
문화,22,,,,,,0,2,,2,,1,,2,2,1,2,,2,1,3006404,,,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,8,2,1,5,1,1,3,3.6,4
문화,21,2,173,3,4,1,,2,,2,,1,,2,2,2,2,,1,1,1010300,,,2,,,,4,5,4,4,4,4,5,5,3,4,4,6,2,3,5,1,2,3,3.7,4
문화,22,,,,,,0,2,,1,청소년문화복지과,1,,2,2,2,2,,1,1,1016200,,,2,,,,4,2,2,3,3,4,4,4,3,4,2,8,2,3,3,3,3,3,3.6,3
인문일반,26,,,,,,0,2,,2,,2,,2,2,2,2,,2,1,1011400,1013300,,2,,,,4,4,4,4,4,4,4,4,4,4,4,7,1,4,4,3,2,3,3.6,4
인문일반,24,2,160,4,4,2,,2,,2,,1,,2,2,1,2,,2,1,4111000,1004300,,2,,,,5,4,4,4,4,4,5,4,5,4,5,8,2,4,7,3,3,1,2.5,4
인문일반,24,2,160,3,2,2,,2,,2,,1,,2,2,2,2,,2,2,,,,1,2,2,2,5,3,3,5,5,5,5,5,5,5,5,5,2,4,4,1,4,3,4,4
인문일반,26,2,400,4,2,2,,2,,2,,2,4,2,2,2,2,,1,2,,,,2,,,,5,3,4,4,3,4,4,4,3,4,3,11,1,6,3,1,5,3,3.8,4
인문일반,22,,,,,,,2,,2,,1,,2,2,1,2,,1,2,,,,2,,,,4,4,4,4,3,4,4,4,3,4,4,10,1,3,4,1,5,1,4,3
인문일반,24,2,180,3,3,1,,2,,2,,2,4,2,2,2,2,,2,1,1000400,4111804,,2,,,,5,4,4,4,5,5,4,4,3,3,2,5,1,5,6,1,5,3,3.8,4
인문일반,22,,,,,,,2,,2,,1,,2,2,1,2,,1,2,,,,2,,,,4,5,3,3,4,4,3,4,2,3,3,7,2,4,5,4,5,3,4.1,4
경영/경제,23,2,3000,2,3,2,,2,,2,,2,4,2,2,1,2,,1,2,,,,1,2,1,2,5,5,2,5,5,3,3,3,4,4,5,5,2,2,6,1,1,3,3,4
경영/경제,22,,,,,,,2,,2,,1,,2,2,2,2,,2,2,,,,2,,,,5,5,2,5,5,5,5,5,3,5,5,7,2,3,4,1,2,3,3.5,3
경영/경제,22,2,190,3,2,1,,2,,2,,1,,2,2,1,2,,1,1,5010502,3003700,3008800,1,2,2,2,4,4,2,4,4,4,4,4,4,4,4,7,2,3,5,1,2,3,4.3,4
경영/경제,22,2,230,3,4,2,,2,,2,,2,,2,2,2,2,,2,2,,,,2,,,,4,4,4,4,4,4,4,4,4,4,4,8,2,4,6,1,2,2,3.5,4
경영/경제,24,2,200,4,1,2,,2,,2,,2,4,2,2,1,2,,1,2,,,,1,2,2,1,4,5,2,5,5,5,5,5,4,5,3,8,1,4,6,1,2,3,3.8,5
경영/경제,24,,,,,,1,2,,2,,1,,2,2,1,2,605,1,1,3003700,3006100,4111804,1,2,2,1,3,3,3,3,3,4,4,4,3,5,3,9,2,4,4,1,2,3,4.1,5
경영/경제,26,,,,,,,2,,2,,2,8,2,2,2,2,,1,2,,,,1,2,2,2,4,4,2,3,4,4,4,4,4,4,3,4,1,4,6,1,2,3,3,4
경영/경제,25,,,,,,,2,,2,,2,,2,2,1,2,,2,2,,,,1,2,2,2,5,5,2,5,5,4,4,4,1,4,4,7,2,4,4,3,2,3,3.7,3
경영/경제,22,2,175,3,3,2,,2,,2,,1,,2,2,2,2,,2,1,4011102,,,2,,,,4,4,3,4,4,4,4,4,4,4,3,6,2,3,4,1,2,3,3.8,3
경영/경제,66,2,150,4,4,1,,2,,2,,2,,2,2,2,2,,2,1,2035200,2060700,,2,,,,4,4,4,4,4,4,4,3,3,4,3,7,2,3,6,3,2,1,3.5,4
경영/경제,25,2,280,4,1,2,,2,,2,,2,5,1,2,2,2,,2,2,,,,2,,,,4,3,3,4,4,4,4,4,3,4,4,8,2,4,5,1,2,3,2.5,4
경영/경제,22,2,210,4,4,1,,2,,2,,1,,2,2,2,2,,2,1,2060200,2114500,4079900,1,2,2,1,5,4,3,4,5,5,4,5,3,4,5,7,2,2,4,4,3,3,4.2,4
