전공,졸업당시나이,알바 여부,월 소득,직장_만족도,직장_전공일치정도,직장_요구자격증여부,합격경험,복수전공여부,복수전공명,부전공여부,부전공명,군복무경험,휴학학기수,졸업유예경험,대학원경험,재학중재직경험,어학연수경험,토익점수,취업목표유무,자격증여부,자격증_1,자격증_2,자격증_3,구직활동경험,공모전수상,대외활동,면접훈련,중요도_근로소득,중요도_흥미,중요도_전공관련성,중요도_개인발전가능성,중요도_직업자체전망,중요도_직장안정성,중요도_근무환경,중요도_복리후생,중요도_회사규모,중요도_출퇴근거리,중요도_사회적평판,하루평균수면시간,흡연여부,음주선호도,삶의 만족도,부모님자산규모,월평균생활비,학교소재,졸업 평점 유형,졸업 평점,현재 건강상태
일본어,23,1,180,3,2,2,,2,,2,,1,,2,2,1,2,,2,2,,,,1,2,2,2,5,5,2,5,5,5,5,5,3,4,3,10,2,3,3,3,100,1,3,3.3,2
일본어,22,,,,,,,2,,2,,7,,2,2,2,2,,2,2,,,,1,2,2,2,5,5,5,5,5,5,5,5,5,5,5,8,2,1,4,3,10,1,3,3,2
일본어,22,1,30,4,5,1,,2,,2,,7,,2,1,2,2,800,2,1,5008600,,,2,,,,5,5,5,5,2,4,5,5,3,5,4,8,2,2,6,5,40,1,3,4.3,2
일본어,25,1,300,3,2,2,,2,,2,,1,4,2,2,2,1,,2,2,,,,2,,,,4,4,4,4,4,4,4,4,4,4,4,4,2,1,7,5,100,2,1,3.8,4
일본어,22,2,112,3,1,2,,2,,2,,6,,2,2,1,2,,2,1,5008600,,,1,2,2,2,4,4,4,4,4,4,3,4,2,3,4,8,1,4,6,4,30,2,3,4.1,4
일본어,25,2,180,2,3,1,,2,,2,,3,4,1,2,1,2,,2,1,5008600,,,2,,,,5,5,5,5,5,4,4,4,3,5,4,5,2,3,3,3,60,2,3,3.9,3
일본어,24,2,180,1,4,2,,2,,2,,2,4,2,2,1,2,,2,1,5008600,3005500,,1,2,2,1,5,5,5,5,3,5,4,5,1,5,2,7,2,1,7,4,30,2,3,3.8,4
일본어,26,2,260,4,1,2,,2,,2,,2,4,2,2,1,1,,2,1,4137202,2043900,,2,,,,5,5,3,4,5,5,5,5,1,5,1,6,2,2,4,4,150,3,3,3.9,5
중국어,24,2,240,3,1,2,,2,,2,,1,,2,2,1,1,,1,2,,,,2,,,,5,4,3,5,5,5,4,4,3,4,3,8,1,1,4,1,120,1,1,3,5
중국어,22,2,300,4,4,2,,2,,2,,1,,2,2,1,2,,1,1,5015200,4137401,5007800,2,,,,5,5,5,5,5,5,5,5,5,5,4,7,2,4,5,2,100,1,3,4,4
중국어,26,2,178,3,3,2,,2,,2,,2,6,2,2,1,2,,2,2,,,,2,,,,3,3,2,4,3,5,5,5,3,4,4,7,1,4,6,3,50,2,3,3.8,5
중국어,22,2,161,3,4,2,,2,,2,,1,,2,2,1,2,,2,2,,,,1,2,2,2,5,5,3,4,4,4,4,4,4,4,3,5,1,4,5,3,60,2,3,3,4
중국어,25,2,200,3,3,2,,2,,2,,2,6,2,2,2,2,,2,2,,,,2,,,,4,4,3,4,4,3,4,4,3,4,4,7,2,4,4,5,100,2,3,3,4
중국어,22,1,50,2,2,2,,2,,2,,1,2,2,2,2,2,,2,2,,,,2,,,,4,3,3,4,4,4,4,4,3,4,4,6,2,2,3,3,50,4,3,3.3,4
중국어,22,2,175,3,1,2,,2,,2,,1,,2,2,2,1,,2,1,1014300,4111000,2042800,2,,,,4,4,3,4,4,4,4,4,4,4,4,5,2,4,4,1,50,5,3,4.1,3
영어,22,2,237,4,4,2,,2,,2,,1,,2,2,2,2,750,1,1,5006100,,,1,1,1,1,4,5,5,4,4,4,4,4,3,3,3,6,2,4,6,4,75,2,3,4.4,5
영어,23,,,,,,,2,,2,,7,,2,1,2,2,960,2,2,,,,2,,,,5,5,5,5,5,5,5,5,5,5,5,6,2,2,7,2,40,2,3,4.1,2
영어,22,,,,,,2,2,,2,,1,,2,2,1,2,,2,1,3003700,,,1,2,2,2,5,4,5,5,4,4,5,5,4,4,3,3,2,3,5,3,40,2,2,3.2,3
