전공,졸업당시나이,알바 여부,월 소득,직장_만족도,직장_전공일치정도,직장_요구자격증여부,합격경험,복수전공여부,복수전공명,부전공여부,부전공명,군복무경험,휴학학기수,졸업유예경험,대학원경험,재학중재직경험,어학연수경험,토익점수,취업목표유무,자격증여부,자격증_1,자격증_2,자격증_3,구직활동경험,공모전수상,대외활동,면접훈련,중요도_근로소득,중요도_흥미,중요도_전공관련성,중요도_개인발전가능성,중요도_직업자체전망,중요도_직장안정성,중요도_근무환경,중요도_복리후생,중요도_회사규모,중요도_출퇴근거리,중요도_사회적평판,하루평균수면시간,흡연여부,음주선호도,삶의 만족도,부모님자산규모,월평균생활비,학교소재,졸업 평점 유형,졸업 평점,현재 건강상태
일본어,26,,,,,,0,1,세무회계과,2,,1,2,1,2,1,2,,1,1,3006404,4196600,3003700,1,2,2,1,3,4,3,3,4,3,3,3,4,4,3,8,2,1,7,6,50,1,3,3.8,3
일본어,22,,,,,,,,,,,1,,2,2,2,2,,2,2,,,,1,1,1,1,4,3,1,2,3,4,4,4,2,3,3,8,2,3,4,3,25,1,3,3.5,4
일본어,21,,,,,,,,,,,1,,2,2,1,2,,2,1,3003900,5008600,,2,,,,5,5,2,5,2,3,5,5,2,5,2,6,2,3,4,1,60,2,3,4,4
일본어,26,,,,,,,,,,,2,,2,2,1,1,,2,2,,,,2,,,,4,4,4,4,5,5,5,5,4,4,3,7,1,2,7,1,20,2,3,3.3,4
일본어,25,2,170,3,2,2,,,,,,2,6,2,2,2,2,,2,1,2068100,,,2,,,,5,5,5,5,5,5,5,5,5,5,5,6,2,1,4,1,50,4,1,3,3
일본어,22,,,,,,,,,,,1,,2,2,1,2,,2,2,,,,2,,,,5,3,3,3,3,5,5,5,3,5,5,7,2,3,4,-1,60,5,3,3.87,3
중국어,22,1,40,2,1,2,,,,,,1,,2,1,2,1,,2,2,,,,2,,,,5,4,3,4,4,5,5,5,5,5,5,8,2,3,7,5,36,1,3,3.87,4
중국어,21,1,45,4,3,2,,,,,,1,,2,2,2,2,,1,1,5007800,3003900,,2,,,,4,3,4,5,5,4,5,5,3,4,4,6,2,1,6,1,30,1,3,4.2,3
중국어,24,,,,,,,,,,,1,,2,2,2,2,855,2,2,,,,1,2,2,2,5,4,3,5,4,5,5,5,5,4,4,7,2,2,6,-1,25,2,3,3.5,3
중국어,27,,,,,,2,,,,,2,6,2,2,1,1,725,2,1,4149200,5007800,,1,2,1,2,3,5,5,5,5,5,5,3,4,4,3,7,1,3,7,-1,58,2,3,3.74,5
중국어,24,,,,,,,,,,,2,4,2,1,2,1,,2,1,5007800,,,2,,,,4,4,3,4,4,4,4,4,4,4,4,8,1,3,4,3,40,2,1,3,4
영어,24,1,35,3,1,2,,,,,,2,4,2,1,1,2,,2,2,,,,2,,,,4,4,4,4,4,4,4,4,3,3,3,7,2,4,7,5,50,1,3,3.5,4
영어,24,1,90,3,3,1,,,,,,1,,2,2,1,2,,2,1,4111000,,,1,2,2,1,5,5,1,5,5,5,5,5,3,5,4,10,2,4,6,5,100,1,3,3.8,4
영어,23,1,40,1,3,2,,,,,,1,2,2,2,2,1,,2,2,,,,2,,,,4,4,4,4,4,4,4,4,4,4,4,7,2,4,6,4,50,1,3,3.2,3
영어,25,2,200,3,5,2,,,,,,1,2,2,2,1,1,,1,2,,,,1,2,2,2,5,5,5,3,5,5,5,5,2,3,3,8,1,4,7,1,80,2,3,3.9,2
영어,22,1,180,2,1,2,,,,,,1,,2,2,2,2,,2,2,,,,2,,,,4,5,2,5,5,5,5,5,4,3,3,7,2,3,5,3,40,2,3,3,4
영어,24,2,234,5,3,1,,,,,,1,,2,2,2,2,,2,1,1010300,,,2,,,,4,4,4,4,4,4,4,4,4,4,4,7,2,3,7,4,100,2,3,4,3
영어,24,2,190,1,2,2,,,,,,2,4,2,2,2,2,,2,2,,,,2,,,,3,3,3,3,3,3,3,3,3,3,3,4,2,4,3,-1,120,2,3,3.5,3
영어,23,,,,,,,,,,,1,,2,2,2,2,,1,1,4001802,4195000,,2,,,,5,5,5,5,5,5,5,5,5,5,5,5,2,1,7,2,20,4,1,2.5,3
유럽ㆍ기타어,25,2,200,4,5,1,,,,,,1,,2,2,2,2,,1,1,1010901,,,2,,,,5,4,4,4,4,4,4,4,4,4,4,6,2,1,6,-1,150,2,2,4.3,3
유럽ㆍ기타어,56,,,,,,,,,,,1,,2,2,2,2,,2,2,,,,2,,,,5,5,5,5,5,5,5,5,5,5,5,7,2,1,6,,70,4,3,4.2,4
문예창작,24,2,190,3,4,2,,,,,,1,,2,2,1,2,,2,1,2116500,,,2,,,,5,5,5,5,3,3,4,4,2,4,4,5,1,3,6,2,70,1,3,4,2
문예창작,26,,,,,,2,,,,,1,2,2,1,2,2,,2,1,2116500,2039500,,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,7,2,1,5,1,20,1,3,3.8,4
문예창작,25,2,180,2,3,2,,,,,,1,,2,2,2,2,,2,2,,,,2,,,,3,3,3,3,3,3,3,3,3,3,3,8,2,1,4,-1,30,2,3,4.3,4
문예창작,23,1,200,2,4,2,,,,,,1,,2,2,1,2,,2,1,2116600,,,2,,,,4,4,4,4,4,4,4,4,4,4,3,4,1,3,4,1,50,2,3,3.6,2
문예창작,27,,,,,,,,,,,2,,2,2,2,2,,2,1,4017104,5018800,,2,,,,5,5,4,5,5,4,4,4,3,4,3,7,1,4,5,4,70,2,3,3.7,4
문예창작,26,1,70,4,4,2,,,,,,1,,2,2,2,2,,2,2,,,,2,,,,5,3,3,2,3,4,3,4,2,3,2,8,2,1,3,2,60,2,3,3.75,4
문예창작,28,,,,,,7,,,,,1,,2,2,1,2,865,1,1,1010300,3000401,,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,7,2,3,3,-1,60,2,3,3.7,5
교양어,26,,,,,,,,,,,2,4,2,1,2,2,,1,1,4149200,,,2,,,,3,4,3,4,3,4,3,4,3,4,3,6,2,3,4,-1,20,3,3,3.7,4
교양어,22,,,,,,,,,,,1,,1,2,2,2,,2,2,,,,2,,,,3,2,2,2,3,3,3,3,3,4,3,9,2,1,4,-1,25,3,-1,,2
문헌정보,22,,,,,,,,,,,1,,2,1,2,2,,2,2,,,,2,,,,4,4,5,5,4,4,5,3,4,5,5,6,2,3,6,4,60,1,3,2.1,4
문헌정보,23,2,200,3,4,1,,,,,,1,,2,2,2,2,,1,1,1010600,,,2,,,,4,4,5,5,5,5,2,2,5,2,5,6,2,2,6,5,50,1,3,3.5,3
문헌정보,21,,,,,,,,,,,1,,2,2,2,2,,2,1,1010600,5010502,,2,,,,5,4,1,3,4,4,4,4,3,4,3,9,2,2,4,-1,15,1,-1,,3
문헌정보,25,,,,,,,,,,,1,4,2,2,2,2,,1,2,,,,1,2,2,2,5,4,4,4,4,4,5,5,4,5,4,8,2,3,5,-1,10,1,-1,,3
문헌정보,23,1,100,4,3,1,,,,,,1,,2,2,2,2,,2,1,4111000,4148800,5010502,1,2,2,2,4,4,3,4,4,4,4,4,3,4,4,7,2,3,5,3,30,1,3,2.03,4
문헌정보,25,,,,,,,,,,,1,,2,2,1,2,,2,1,1010600,,,1,2,2,2,5,4,5,3,5,5,4,4,4,5,2,6,2,1,1,2,40,2,1,3,1
문화,26,,,,,,,,,,,3,8,2,1,1,2,,2,1,4149200,3005500,,2,,,,5,5,3,3,3,5,5,5,3,5,5,6,2,1,4,4,20,1,3,3.15,2
문화,24,,,,,,0,,,,,2,4,2,2,1,2,,2,2,,,,2,,,,4,5,1,5,2,3,5,3,3,5,3,8,2,3,7,-1,50,1,-1,,5
문화,24,,,,,,3,,,,,2,4,2,1,2,2,,2,2,,,,1,2,2,1,4,4,4,4,4,4,4,4,3,5,4,8,2,3,4,-1,10,1,3,3.65,3
문화,22,,,,,,,,,,,1,,2,1,2,2,600,2,2,,,,2,,,,4,4,4,4,4,4,5,5,5,4,4,7,2,5,6,-1,50,1,2,3,5
문화,24,,,,,,,,,,,1,,2,2,2,2,,2,2,,,,2,,,,4,4,4,4,4,4,4,4,4,4,4,7,2,2,3,-1,1,1,3,4.31,4
문화,23,,,,,,,,,,,1,,2,2,1,2,,1,1,4196600,3007600,5010502,2,,,,5,4,4,5,4,5,5,4,4,5,4,8,2,2,5,-1,50,2,3,3.5,3
문화,68,2,120,3,3,2,,,,,,2,,2,2,2,2,,2,2,,,,2,,,,4,4,3,4,3,3,3,3,3,3,3,8,2,3,5,,150,4,3,4,4
인문일반,22,2,215,4,3,2,,,,,,7,,2,2,1,2,,1,1,4061006,4109801,,2,,,,5,3,3,4,5,5,4,5,3,3,3,7,1,1,5,4,40,2,3,3.7,5
인문일반,25,,,,,,0,,,,,2,4,2,2,2,2,,2,2,,,,2,,,,4,5,4,5,4,5,4,4,4,4,4,7,1,4,6,4,120,2,3,3.7,5
인문일반,22,2,200,3,5,2,,,,,,1,,2,2,1,2,,2,1,2116500,4004605,3006100,1,2,2,2,4,5,4,5,4,4,4,4,3,4,4,6,2,3,5,-1,70,2,3,3.8,2
